Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,9.42s,N/A,455,"9,420.00",63.00,Put,0.56,60,"3,324",560.00
Call,8.99s,N/A,208,"8,990.00",63.50,Put,0.61,99,625,610.00
Call,8.57s,2,25,"8,570.00",64.00,Put,0.69,20,"1,313",690.00
Call,8.97,1,13,"8,970.00",64.50,Put,0.83,20,331,830.00
Call,8.75,5,306,"8,750.00",65.00,Put,0.85,194,"11,955",850.00
Call,7.36s,1,45,"7,360.00",65.50,Put,0.91,11,436,910.00
Call,7.93,2,79,"7,930.00",66.00,Put,1.05,35,989,"1,050.00"
Call,6.59s,53,92,"6,590.00",66.50,Put,1.10,17,"1,036","1,100.00"
Call,6.22s,4,608,"6,220.00",67.00,Put,1.24,190,"1,494","1,240.00"
Call,6.63,40,275,"6,630.00",67.50,Put,1.37,150,570,"1,370.00"
Call,5.51s,147,"1,000","5,510.00",68.00,Put,1.48,283,"2,815","1,480.00"
Call,5.17s,N/A,587,"5,170.00",68.50,Put,1.65,28,513,"1,650.00"
Call,5.52,3,984,"5,520.00",69.00,Put,1.81,51,"1,315","1,810.00"
Call,4.74,1,760,"4,740.00",69.50,Put,1.94,20,641,"1,940.00"
Call,4.22,5,"7,901","4,220.00",70.00,Put,2.11,118,"14,943","2,110.00"
Call,4.38,8,630,"4,380.00",70.50,Put,2.47,58,488,"2,470.00"
Call,4.10,5,"2,357","4,100.00",71.00,Put,2.93,16,"1,084","2,930.00"
Call,3.53,20,930,"3,530.00",71.50,Put,3.25,35,751,"3,250.00"
Call,2.96,339,"2,476","2,960.00",72.00,Put,2.89,90,"1,283","2,890.00"
Call,3.17,310,"2,667","3,170.00",72.50,Put,3.12,141,377,"3,120.00"
Call,3.00,209,"3,141","3,000.00",73.00,Put,3.24,41,"1,101","3,240.00"
Call,2.87,1,927,"2,870.00",73.50,Put,4.12s,6,669,"4,120.00"
Call,2.21s,194,"3,027","2,210.00",74.00,Put,3.75,11,443,"3,750.00"
Call,2.14,90,597,"2,140.00",74.50,Put,4.95,7,248,"4,950.00"
Call,2.26,"1,464","10,421","2,260.00",75.00,Put,4.34,46,"6,949","4,340.00"
Call,1.95,20,"1,340","1,950.00",75.50,Put,5.22,4,236,"5,220.00"
Call,1.83,38,"2,032","1,830.00",76.00,Put,5.70s,1,581,"5,700.00"
Call,1.66,191,761,"1,660.00",76.50,Put,6.05s,N/A,"1,015","6,050.00"
Call,1.50,286,"3,650","1,500.00",77.00,Put,5.69,1,"1,030","5,690.00"
Call,1.20,297,"2,135","1,200.00",77.50,Put,6.79s,N/A,68,"6,790.00"
Call,1.30,142,"4,136","1,300.00",78.00,Put,7.18s,N/A,453,"7,180.00"
Call,1.10,117,730,"1,100.00",78.50,Put,7.57s,N/A,305,"7,570.00"
Call,1.05,122,"2,520","1,050.00",79.00,Put,7.98s,N/A,521,"7,980.00"
Call,0.86,116,"1,027",860.00,79.50,Put,8.40s,N/A,414,"8,400.00"
Call,0.84,"3,260","19,687",840.00,80.00,Put,8.50,1,"4,446","8,500.00"
Call,0.71,108,"1,412",710.00,80.50,Put,9.26s,N/A,45,"9,260.00"
Call,0.62,511,"1,570",620.00,81.00,Put,9.70s,N/A,767,"9,700.00"
Call,0.60,11,693,600.00,81.50,Put,10.14s,N/A,23,"10,140.00"
Call,0.54,36,"3,721",540.00,82.00,Put,10.60s,N/A,44,"10,600.00"
Call,0.44,6,"2,167",440.00,82.50,Put,11.05s,N/A,521,"11,050.00"
"Downloaded from Barchart.com as of 07-07-2023 10:44am CDT"
